sample_id,ordering,kendall_tau,t_peak_IL1,t_peak_IL12,t_peak_IL10
281,IL1<IL10<IL12,0.33333333333333337,1.25,31.75,1.75
282,IL1<IL12<IL10,1.0,0.25,0.25,120.0
283,IL1<IL12<IL10,1.0,0.25,0.25,0.25
284,IL10<IL12<IL1,-1.0,2.75,2.0,0.25
285,IL1<IL12<IL10,1.0,1.25,2.0,105.0
286,IL12<IL10<IL1,-0.33333333333333337,120.0,4.25,5.5
287,IL12<IL1<IL10,0.33333333333333337,0.75,0.5,120.0
288,IL10<IL12<IL1,-1.0,21.25,1.25,1.0
289,IL12<IL1<IL10,0.33333333333333337,17.5,16.25,120.0
290,IL1<IL12<IL10,1.0,0.25,0.5,62.25
291,IL10<IL12<IL1,-1.0,1.25,0.75,0.0
292,IL1<IL12<IL10,1.0,0.0,0.5,120.0
293,IL1<IL12<IL10,1.0,0.25,0.25,120.0
294,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,6.25
295,IL1<IL12<IL10,1.0,0.25,0.25,120.0
296,IL12<IL1<IL10,0.33333333333333337,0.25,0.0,120.0
297,IL1<IL12<IL10,1.0,120.0,120.0,120.0
298,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.75
299,IL12<IL1<IL10,0.33333333333333337,1.5,1.25,4.75
300,IL1<IL12<IL10,1.0,0.0,0.25,115.25
301,IL10<IL1<IL12,-0.33333333333333337,46.25,120.0,0.0
302,IL1<IL12<IL10,1.0,0.5,5.0,120.0
303,IL1<IL12<IL10,1.0,120.0,120.0,120.0
304,IL1<IL12<IL10,1.0,0.25,0.25,0.25
305,IL1<IL12<IL10,1.0,0.0,0.0,1.5
306,IL1<IL12<IL10,1.0,0.25,4.25,120.0
307,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
308,IL1<IL12<IL10,1.0,0.25,0.25,120.0
309,IL10<IL1<IL12,-0.33333333333333337,120.0,120.0,0.5
310,IL1<IL12<IL10,1.0,0.25,0.5,34.25
311,IL1<IL12<IL10,1.0,0.5,0.75,120.0
312,IL1<IL12<IL10,1.0,0.0,0.0,120.0
313,IL12<IL1<IL10,0.33333333333333337,0.5,0.25,21.25
314,IL1<IL12<IL10,1.0,3.5,10.25,63.75
315,IL1<IL12<IL10,1.0,0.25,0.25,120.0
316,IL1<IL12<IL10,1.0,0.25,0.25,6.75
317,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
318,IL1<IL12<IL10,1.0,3.5,5.25,120.0
319,IL1<IL12<IL10,1.0,120.0,120.0,120.0
320,IL1<IL12<IL10,1.0,0.25,0.25,120.0
321,IL1<IL12<IL10,1.0,120.0,120.0,120.0
322,IL10<IL1<IL12,-0.33333333333333337,0.5,0.75,0.0
323,IL1<IL12<IL10,1.0,120.0,120.0,120.0
324,IL1<IL12<IL10,1.0,0.0,0.0,0.0
325,IL12<IL1<IL10,0.33333333333333337,1.25,1.0,1.25
326,IL1<IL12<IL10,1.0,0.0,8.0,120.0
327,IL12<IL1<IL10,0.33333333333333337,2.5,0.25,120.0
328,IL1<IL12<IL10,1.0,0.5,1.5,32.75
329,IL12<IL1<IL10,0.33333333333333337,6.0,0.75,120.0
330,IL1<IL12<IL10,1.0,0.25,0.25,120.0
331,IL1<IL10<IL12,0.33333333333333337,0.25,120.0,0.25
332,IL10<IL1<IL12,-0.33333333333333337,0.25,0.25,0.0
333,IL1<IL12<IL10,1.0,1.5,48.5,50.0
