snapshot_h,node,metric,top1_frequency_pct,mean_value,median_value
72,D,topology_out,0.0,1.1019108280254777,2.0
120,M1,weighted_in,10.681038706516413,64806.88118364505,0.009336498667646197
120,M2,weighted_in,69.86771190592846,1284323.9220940263,5913.387810028099
120,IL1,weighted_in,0.0,1522.61025204806,0.003612610031134579
120,IL12,weighted_in,0.0,34.06914871008258,0.0017616357023804534
120,IL10,weighted_in,16.26653601175894,92249.53784816146,522.8388029247928
120,IL4,weighted_in,3.1847133757961785,19075.605944099283,8.424018053258086
120,D,weighted_in,0.0,3.759589381579417,0.3913909119353588
120,M1,weighted_out,11.170994610485057,89047.8612284993,0.0023172151590000185
120,M2,weighted_out,63.98824105830475,1238838.6552246786,4849.3414840361365
120,IL1,weighted_out,0.0,856.6640681416931,0.010895056523132801
120,IL12,weighted_out,0.04899559039686428,206.5241407362462,0.01463636885117443
120,IL10,weighted_out,17.785399314061735,105908.32160778817,879.0634739528272
120,IL4,weighted_out,7.006369426751593,27156.165912476157,234.46898866517995
120,D,weighted_out,0.0,2.1938777515353594,0.15475171631787507
120,M1,topology_in,15.139637432631064,2.590886820186183,4.0
120,M2,topology_in,65.60509554140127,3.6055854973052424,4.0
120,IL1,topology_in,3.478686918177364,2.4728074473297403,3.0
120,IL12,topology_in,0.04899559039686428,2.0362567368936797,3.0
120,IL10,topology_in,8.525232729054386,2.699657030867222,3.0
120,IL4,topology_in,0.0,2.6369426751592355,3.0
120,D,topology_in,7.202351788339049,3.706516413522783,4.0
120,M1,topology_out,0.04899559039686428,2.0646741793238608,4.0
120,M2,topology_out,29.936305732484076,2.9882410583047525,3.0
120,IL1,topology_out,0.04899559039686428,1.753062224399804,3.0
120,IL12,topology_out,51.15139637432631,3.7506124448799607,5.0
120,IL10,topology_out,18.030377266046056,4.479666829985302,5.0
120,IL4,topology_out,0.7839294463498285,3.7839294463498283,5.0
120,D,topology_out,0.0,0.9284664380205782,0.0
